Tree name	Trait species	Non-trait species	Permutations	Selective Pressure	p-value	FDR
OG0001795_1 	9	8	6188055	constrained	2.1331292424223816e-05	0.15932342311652767
OG0006909_1 	6	9	2945157	accelerated	6.858771111939443e-05	0.2561408071753785
OG0004390_1 	10	9	2945157	constrained	6.926604476623729e-05	0.17244936278634213
OG0007232_1 	9	8	1772388	accelerated	0.00012638530138942006	0.2359929540193946
OG0007858_1 	9	3	1772388	accelerated	0.0001354117532887944	0.20227807706280107
OG0000065_2 	7	6	1772388	accelerated	0.0002584133869418803	0.32168159784481737
OG0004369_1 	8	9	1142981	accelerated	0.0003219653887207574	0.3435370697650481
OG0005715_1 	10	9	2945157	constrained	0.00032256246337218343	0.30115237986585475
OG0006626_1 	10	8	1142981	constrained	0.00036220852712364436	0.3005928321207222
OG0004569_1 	10	9	2945157	accelerated	0.00042782230298787916	0.31954047810164693
OG0006954_1 	10	7	1142981	constrained	0.0004357001123371374	0.2958403762769163
OG0007447_1 	10	5	1142981	constrained	0.0004689463056480033	0.29187999640707807
OG0004557_1 	10	9	2945157	constrained	0.00048554139223391823	0.27896220450731807
OG0005275_1 	8	9	1142981	accelerated	0.0004899473306619884	0.2613869009081708
OG0002783_1 	10	8	712130	accelerated	0.0005476589685474709	0.27269765573873733
OG0003380_1 	10	8	1142981	constrained	0.0006334274725543925	0.29569186203179737
OG0003309_1 	10	4	712130	constrained	0.0006459440331622049	0.2837974108052064
OG0001878_1 	10	9	2945157	constrained	0.0006913022899218584	0.2868520446347978
OG0005573_1 	9	7	712130	accelerated	0.0007161633863574934	0.2815275964581115
OG0005551_1 	10	9	2945157	accelerated	0.0007368050773679524	0.2751598561430618
OG0000513_1 	3	7	712130	accelerated	0.0007528174473870886	0.2677520721206745
OG0005564_1 	10	9	2945157	constrained	0.0007653218867798963	0.2598267805617748
OG0001990_1 	10	8	1142981	constrained	0.0008591516271386926	0.2790001523086476
OG0007951_1 	7	8	712130	constrained	0.000879043106813567	0.2735655401996055
OG0006758_1 	10	6	712130	accelerated	0.0009464670379513151	0.2827664922583349
OG0005588_1 	10	9	2945157	accelerated	0.0009744841345833422	0.2799393077385762
OG0005445_1 	9	9	427482	accelerated	0.0009918546277971618	0.274376378333963
OG0006398_1 	9	9	427482	constrained	0.0010199259851876804	0.27206525654881375
OG0007694_1 	7	8	427482	constrained	0.0010292831043178425	0.2650936381431023
OG0004750_1 	10	9	2945157	accelerated	0.0010356016064387852	0.2578302799497096
OG0004475_1 	10	9	2945157	accelerated	0.0010912864141292555	0.26292962023004546
OG0003701_1 	9	7	427482	accelerated	0.0011322273063283372	0.26426892971769844
OG0003296_1 	10	7	427482	accelerated	0.0011322326036203867	0.25626197928608085
OG0002281_1 	10	9	2945157	accelerated	0.00113406864442811	0.2491281972127516
OG0000393_2 	10	5	427482	accelerated	0.0011369218892554045	0.24261913116710332
