Tree name	Trait species	Non-trait species	Permutations	Selective Pressure	p-value	FDR
OG0001795_1 	8	9	3365971	accelerated	1.3666324216288217e-05	0.102183106165187
OG0001251_2 	7	5	2328418	constrained	3.9511704053900834e-05	0.14771450560550828
OG0006398_1 	8	10	1546851	accelerated	8.274956103948572e-05	0.20623948929741157
OG0004390_1 	8	11	1546851	accelerated	9.567893253337179e-05	0.1788478446380052
OG0005445_1 	8	10	941109	constrained	0.00013600960567840105	0.20338876433148095
OG0000065_2 	5	8	941109	constrained	0.00016150351270140126	0.20126029407806287
OG0007232_1 	7	10	941109	constrained	0.00016363655683182624	0.17478721934736638
OG0007532_1 	6	5	941109	constrained	0.00017848757280274362	0.16681894773076425
OG0000393_2 	4	11	941109	constrained	0.00020613298765327157	0.17125070540927906
OG0004569_1 	8	11	1546851	constrained	0.00020687042541610046	0.1546770170836183
OG0005715_1 	8	11	1546851	accelerated	0.0002353184556903587	0.1599523721088011
OG0000513_1 	6	4	941109	constrained	0.0002443424108309554	0.15224568381525447
OG0006954_1 	6	11	665891	accelerated	0.0003273833659215297	0.18829580207655983
OG0007447_1 	5	10	665891	accelerated	0.0003574228312093197	0.19088932206800596
OG0006626_1 	8	10	665891	accelerated	0.0003634244797924291	0.18115498902719948
OG0005564_1 	8	11	1546851	accelerated	0.0003814227715859264	0.17824362894674822
OG0004369_1 	8	9	450660	constrained	0.000497044361209238	0.21861180522126306
OG0005275_1 	8	9	450660	constrained	0.0005281119774908911	0.21937184753885516
OG0003380_1 	8	10	665891	accelerated	0.0006157191599788225	0.2423016925874556
OG0001878_1 	8	11	1546851	accelerated	0.0006400144811357089	0.23926941377258476
OG0004557_1 	8	11	1546851	accelerated	0.0006542370251609864	0.23293953510136645
OG0007951_1 	8	7	450660	accelerated	0.0007145076110592896	0.24283515490410493
OG0006758_1 	5	11	450660	constrained	0.0007322236077766585	0.23803634414548153
OG0001990_1 	8	10	665891	accelerated	0.0007989331539237643	0.24890096632866607
